127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000595
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000667
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000616
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000661
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000540
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002953
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000657
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000506
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.000484
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000628
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000614
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.000526
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000497
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000600
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.000511
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/default/edit/roomBooking/views/default/book.html, HTTP/1.1, 200, 0.125187
127.0.0.1, 2016-11-11 15:10:10, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.000652
127.0.0.1, 2016-11-11 15:10:11, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.737623
127.0.0.1, 2016-11-11 15:10:11, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.827911
127.0.0.1, 2016-11-11 15:10:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.819728
127.0.0.1, 2016-11-11 15:10:11, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.710742
127.0.0.1, 2016-11-11 15:10:11, GET, /roomBooking/appadmin/hooks, HTTP/1.1, 200, 1.098857
127.0.0.1, 2016-11-11 15:10:31, GET, /admin/default/edit/roomBooking/views/default/user.html, HTTP/1.1, 200, 0.058090
127.0.0.1, 2016-11-11 15:10:31, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.016219
127.0.0.1, 2016-11-11 21:23:00, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.006999
127.0.0.1, 2016-11-11 21:23:00, GET, /admin/default/index.load, HTTP/1.1, 404, 0.059308
127.0.0.1, 2016-11-11 21:23:00, GET, /roomBooking/appadmin/hooks, HTTP/1.1, 303, 0.605177
127.0.0.1, 2016-11-11 21:23:00, GET, /admin/default/index, HTTP/1.1, 200, 0.085463
127.0.0.1, 2016-11-11 21:23:01, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.011399
127.0.0.1, 2016-11-11 21:23:01, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.012027
127.0.0.1, 2016-11-11 21:23:01, GET, /admin/default/index, HTTP/1.1, 200, 0.132173
127.0.0.1, 2016-11-11 21:23:01, GET, /admin/default/index, HTTP/1.1, 200, 0.197256
127.0.0.1, 2016-11-11 21:23:01, GET, /roomBooking/appadmin/hooks, HTTP/1.1, 303, 0.318851
127.0.0.1, 2016-11-11 21:23:02, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.006428
127.0.0.1, 2016-11-11 21:23:02, GET, /admin/default/index, HTTP/1.1, 200, 0.178591
127.0.0.1, 2016-11-11 21:23:02, GET, /admin/default/index.load, HTTP/1.1, 404, 0.094744
127.0.0.1, 2016-11-11 21:23:02, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.028208
127.0.0.1, 2016-11-11 21:23:02, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.042107
127.0.0.1, 2016-11-11 21:23:03, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.016975
127.0.0.1, 2016-11-11 21:23:03, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.022526
127.0.0.1, 2016-11-11 21:23:03, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.031922
127.0.0.1, 2016-11-11 21:23:03, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.029840
127.0.0.1, 2016-11-11 21:23:03, GET, /admin/default/index, HTTP/1.1, 200, 0.141857
127.0.0.1, 2016-11-11 21:23:03, GET, /admin/default/index, HTTP/1.1, 200, 0.162792
